Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44292626,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345272579""","=""9780345272577""",2,4.29,Ballantine,Mass Market Paperback,287,1979,1937,2023/08/06,2023/07/13,,,read,,,,1,0
7143113,On Writing: A Memoir of the Craft,Stephen        King,"King, Stephen",,"=""1439156816""","=""9781439156810""",3,4.34,Scribner,Paperback,291,2000,2000,2023/07/23,2023/07/20,,,read,,,,1,0
1691232,The Adventures of Sherlock Holmes,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""0812504240""","=""9780812504248""",3,4.30,Aerie,Mass Market Paperback,259,1989,1892,2023/07/13,2023/06/08,,,read,"pretty fun readthrough, but not entirely my vibe. the 1880s london setting is AWESOME, and maybe the most interesting draw- doyle really lets a reader in on everything about it. the perfect atmosphere for detective stories... smoky, serious, and almost cartoonishly Victorian. however, some of the mysteries (especially toward the middle) felt a bit contrived, and it got kinda hard to read through.",,,1,0
7745,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",4,4.07,Vintage Books,Paperback,204,1998,1971,2023/06/27,2023/06/18,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Joseph Frank, David McDuff","=""""","=""""",0,4.28,Penguin,Paperback,671,2002,1866,,2023/06/08,to-read,to-read (#15),to-read,,,,0,0
17986414,The Metamorphosis,Franz Kafka,"Kafka, Franz","Susan Bernofsky, David Cronenberg","=""0393347095""","=""9780393347098""",4,3.89,W. W. Norton & Company,Paperback,126,2014,1915,2023/06/06,2023/05/10,,,read,,,,1,0
18782562,"Night Watch (Discworld, #29)",Terry Pratchett,"Pratchett, Terry",,"=""0062307401""","=""9780062307408""",4,4.50,Harper,Mass Market Paperback,451,2014,2002,2023/05/30,2023/05/02,,,read,,,,1,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",0,4.01,Doubleday,Hardcover,506,2011,2011,,2023/05/10,to-read,to-read (#14),to-read,,,,0,0
28589297,Unsong,Scott   Alexander,"Alexander, Scott",,"=""""","=""""",0,4.40,,ebook,795,2017,2017,,2023/05/10,to-read,to-read (#13),to-read,,,,0,0
24998659,Tunnel Visions: The Rise and Fall of the Superconducting Super Collider,Michael Riordan,"Riordan, Michael","Lillian Hoddeson, Adrienne W. Kolb","=""022629479X""","=""9780226294797""",0,4.00,University of Chicago Press,Hardcover,480,2015,2015,,2023/05/10,to-read,to-read (#12),to-read,,,,0,0
13651,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.25,Harper Voyager,Paperback,387,1994,1974,,2023/05/10,to-read,to-read (#11),to-read,,,,0,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",0,3.81,Vintage Contemporaries / Random House,Paperback,399,1991,1991,,2023/05/10,to-read,to-read (#10),to-read,,,,0,0
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""0316440884""","=""9780316440882""",0,4.07,Orbit,Paperback,540,2018,2017,,2023/05/10,to-read,to-read (#9),to-read,,,,0,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",0,3.61,Penguin Books,Paperback,307,1976,1957,,2023/05/10,to-read,to-read (#8),to-read,,,,0,0
415,Gravity’s Rainbow,Thomas Pynchon,"Pynchon, Thomas",,"=""0143039946""","=""9780143039945""",0,4.01,Penguin Books,Paperback,776,2006,1973,,2023/05/10,to-read,to-read (#7),to-read,,,,0,0
8493026,The Philosophy Book: Big Ideas Simply Explained,Will Buckingham,"Buckingham, Will","Douglas Burnham, Clive Hill, Peter J. King, John Marenbon, Marcus Weeks","=""0756668611""","=""9780756668617""",0,4.16,DK Publishing,Hardcover,352,2011,2010,,2023/05/10,to-read,to-read (#6),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,4.13,Random House: Modern Library,Paperback,272,2004,1890,,2023/05/10,to-read,to-read (#5),to-read,,,,0,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.13,Tor.com,ebook,144,2017,2017,,2023/05/10,to-read,to-read (#4),to-read,,,,0,0
19351,The Epic of Gilgamesh,Anonymous,"Anonymous, Anonymous","N.K. Sandars, John Maier, Herbert Mason, John H. Marks, Morris Jastrow Jr.","=""0141026286""","=""9780141026282""",0,3.75,Penguin Books Limited,Paperback,72,2006,-1200,,2023/05/10,to-read,to-read (#3),to-read,,,,0,0
33852053,Gnomon,Nick Harkaway,"Harkaway, Nick",,"=""""","=""""",0,3.84,William Heinemann,Hardcover,688,2017,2017,,2023/05/10,to-read,to-read (#2),to-read,,,,0,0
16047687,"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,3.96,Dial Press Fiction,Paperback,275,2006,1965,2023/04/28,2023/03/31,,,read,,,,1,0
369691,By the Waters of Babylon,Stephen Vincent Benét,"Benét, Stephen Vincent",,"=""0886822947""","=""9780886822941""",3,3.86,Creative Co,Library Binding,32,1989,1937,,2023/04/18,,,read,,,,1,0
5986375,"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",David Foster Wallace,"Wallace, David Foster",,"=""0316068225""","=""9780316068222""",4,4.47,"Little, Brown and Company",Hardcover,138,2009,2009,,2023/04/04,,,read,,,,1,0
17318692,How Music Works,David   Byrne,"Byrne, David",,"=""1938073533""","=""9781938073533""",4,4.01,McSweeney's,Paperback,374,2013,2014,2023/03/28,2023/03/10,,,read,,,,1,0
1221381,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",3,4.00,Vintage Books,Paperback,287,2007,2006,2023/03/25,2023/03/10,,,read,,,,1,0
